,id,Bootcamp,jumlah_mini_project_dikerjakan
0,84e82477-5fb8-432b-9c0f-6bd0306ca028,Offline,1
1,d8e7fd49-fb6b-4a43-9ca1-b4d4c80a3ee3,Offline,1
2,c9e8e549-6753-4996-9924-8000e409dca2,Offline,1
3,141ebfff-2112-4fb0-9522-2f6a34f388a7,Offline,1
4,c9a82866-52ad-4597-8b87-453b4bc3a9d7,Online,1
5,ccadbee5-4eed-499c-917d-0005cfe48a5d,Online,1
6,e6167931-7dcd-40cb-a065-3804a08ae841,Offline,1
7,28c21980-3720-4511-bec7-cc2e6275750a,Offline,1
8,6182a456-4de8-43e2-b54f-5836017a532d,Offline,1
9,1efd7e76-acea-457d-b43c-d2c538c532b2,Offline,1
10,3225e9ea-e884-40bd-a656-818e699d86ec,Offline,1
11,7b2398e5-7c99-4ccd-aa73-5c987b82858f,Offline,1
12,37ff7521-e05d-4635-8d59-e3c6f852d77d,Offline,1
13,1de40c3b-877b-48c2-be67-4021b5459754,Offline,1
14,3d110c2c-e912-45ac-b49c-d55781dd00dd,Offline,1
15,b08e0cea-9237-4a5a-87d6-3f72a313ae3f,Offline,1
16,2af566fa-f86c-462b-b3cf-5868069d103e,Offline,1
17,223e96b7-dfbe-442b-9b28-7fef065a6044,Offline,1
18,1c8b2fc6-6dea-4184-9cb0-5dfbe49b73da,Offline,1
19,37725a9e-f7e1-4803-ad03-e9be32e186d4,Offline,1
20,23205395-678b-4b55-a150-3fc8227c3a18,Offline,1
21,66435fb2-4e78-43d7-952d-d83ed97c5590,Offline,1
22,2f773992-bd33-499d-b4d8-9de663d61d09,Offline,1
23,73ae6177-466a-40ab-833a-67f5a7eedc79,Offline,1
24,b201d5cd-6e38-4c63-8347-e1dbd89720e9,Offline,1
25,9bb07206-a24d-488b-91d9-853f606d5fd4,Offline,1
26,c16dd75d-767f-4f05-a3cf-e3207ecb51a4,Offline,1
27,d5fbe51e-866a-4bc6-acd4-65604d50f3e6,Offline,1
28,1cb0d1bf-328c-48fc-ba36-d238bcf1b7f6,Offline,1
29,a2509b39-af24-4703-842f-27c2dcd12475,Offline,1
30,50bc13c3-0c72-4cab-a0af-b1569c6608e6,Offline,1
31,8633ed8f-31e9-45be-8c95-1a50d1658229,Offline,1
32,38ba55a0-96fe-4f04-af03-fe2a75bf9968,Offline,1
33,e7ec3fdb-639e-430f-978e-10c034fd3978,Offline,1
34,b72ffd03-aef1-4d7f-896e-953964384583,Offline,1
35,a9c35b24-76a8-4b67-addd-81845fb390c7,Offline,1
36,202f45d7-fcef-4cc2-8278-6cd8e89d01cd,Offline,1
37,640d60da-a441-4460-b386-d9613ee01d28,Offline,1
38,dac33426-3c77-4e9c-807c-3ecdc261339f,Offline,1
39,d4024ed1-cddb-4e3c-aea5-6616191d699f,Offline,1
40,6ec72b3a-0222-42ca-a3fe-bc17e019a32f,Offline,1
