,id,jumlah_quiz_dikerjakan
0,6a274d5b-677d-4929-aea5-ee7e74b22148,2
1,ab63b367-3fca-4928-a09d-7193405c35e6,3
2,c9a82866-52ad-4597-8b87-453b4bc3a9d7,2
3,ab63b367-3fca-4928-a09d-7193405c35e6,3
4,6a274d5b-677d-4929-aea5-ee7e74b22148,2
5,c9a82866-52ad-4597-8b87-453b4bc3a9d7,2
6,ab63b367-3fca-4928-a09d-7193405c35e6,3
7,e6167931-7dcd-40cb-a065-3804a08ae841,1
8,28c21980-3720-4511-bec7-cc2e6275750a,1
9,6182a456-4de8-43e2-b54f-5836017a532d,1
10,1efd7e76-acea-457d-b43c-d2c538c532b2,1
11,3225e9ea-e884-40bd-a656-818e699d86ec,1
12,7b2398e5-7c99-4ccd-aa73-5c987b82858f,1
13,37ff7521-e05d-4635-8d59-e3c6f852d77d,1
14,1de40c3b-877b-48c2-be67-4021b5459754,1
15,3d110c2c-e912-45ac-b49c-d55781dd00dd,1
16,b08e0cea-9237-4a5a-87d6-3f72a313ae3f,1
17,2af566fa-f86c-462b-b3cf-5868069d103e,1
18,223e96b7-dfbe-442b-9b28-7fef065a6044,1
19,1c8b2fc6-6dea-4184-9cb0-5dfbe49b73da,1
20,37725a9e-f7e1-4803-ad03-e9be32e186d4,1
21,23205395-678b-4b55-a150-3fc8227c3a18,1
22,66435fb2-4e78-43d7-952d-d83ed97c5590,1
23,2f773992-bd33-499d-b4d8-9de663d61d09,1
24,73ae6177-466a-40ab-833a-67f5a7eedc79,1
25,0ee3780f-36f5-4ce7-af65-420a0d0b528c,1
26,b201d5cd-6e38-4c63-8347-e1dbd89720e9,1
27,9bb07206-a24d-488b-91d9-853f606d5fd4,1
28,c16dd75d-767f-4f05-a3cf-e3207ecb51a4,1
29,d5fbe51e-866a-4bc6-acd4-65604d50f3e6,1
30,1cb0d1bf-328c-48fc-ba36-d238bcf1b7f6,1
31,a2509b39-af24-4703-842f-27c2dcd12475,1
32,50bc13c3-0c72-4cab-a0af-b1569c6608e6,1
33,8633ed8f-31e9-45be-8c95-1a50d1658229,1
34,38ba55a0-96fe-4f04-af03-fe2a75bf9968,1
35,e7ec3fdb-639e-430f-978e-10c034fd3978,1
36,b72ffd03-aef1-4d7f-896e-953964384583,1
37,a9c35b24-76a8-4b67-addd-81845fb390c7,1
38,202f45d7-fcef-4cc2-8278-6cd8e89d01cd,1
39,640d60da-a441-4460-b386-d9613ee01d28,1
40,dac33426-3c77-4e9c-807c-3ecdc261339f,1
41,0a986dd7-a658-40a9-9d1b-d3074e036e35,1
42,d4024ed1-cddb-4e3c-aea5-6616191d699f,1
43,6ec72b3a-0222-42ca-a3fe-bc17e019a32f,1
44,f6c33008-5144-41d8-b2a5-a570e9f1561b,1
45,9b6d950a-d667-4f0b-ac67-0d810b2feff6,1
46,47ab6a24-9a36-4af9-b4a4-651bfa037130,1
47,d26cad8a-57db-41ec-9679-d73b30e718dc,1
48,9ffb6093-07ab-4c59-8f50-d7b38b640c04,1
49,e835a550-12b8-48aa-84a8-7fc1c8b1e775,1
50,ab9d4c1f-1773-4f12-88e1-ecd78f51e309,1
51,e876c637-3708-402f-9fc3-ed2a59c697c9,1
52,52a42141-4b24-488f-8631-7ef301b1c14c,1
53,4c39b0b9-c9d0-45ac-b545-190c3da984fa,1
54,9fd059e2-db33-4855-9374-7ccccc82e66e,1
55,90f03727-0a86-4f64-8828-9b8d6d2a0650,1
56,4f727795-2eba-42fd-97a6-dd7a8a15282b,1
57,fea9deb6-7320-4e71-8c81-a5529ccdd68c,1
58,89659f75-6600-40be-8c14-322a5ae87e24,1
59,8d2d94c5-8114-4962-a74e-d3f9ce3f36f5,1
60,11a3f0b6-30be-4055-bd52-045a04e860fe,1
61,cec079b7-5691-4cd0-9092-3b0388c25d4a,1
62,f79501bb-dbe6-4ba4-8439-e4740856c51a,1
63,f064f333-666c-499f-bfcb-b71607e60de7,1
64,5939bdfb-18e1-40ee-8654-d802e218a33f,1
65,e7cb74f4-ab7a-4555-90a9-a9f5ecb3f9b6,1
66,e98d0b49-dc22-4be4-89e6-38ba25d671b3,1
67,91753f65-ede6-4be5-b7a7-9e8b4da7cc42,1
68,53292fdb-b353-457a-8482-81bdab16d44f,1
69,9493905e-b65c-40ce-b799-c350ed3e1f18,1
70,9b87a188-a71f-4d7a-bb50-b7fae8022f80,1
71,be4db01d-a7c7-4918-93df-7014dc077733,1
72,dfac5d22-8882-4707-bbe8-9325b9ddc739,1
73,afcb575e-c985-4e48-8663-6e73dd6dbe65,1
74,342ea9ee-c313-48ec-9c3e-d11cc7614f54,1
75,dd17fd3c-6723-465c-8b53-ce5998b51003,1
76,44ca9a06-8b5d-42d1-a313-dfee18559727,1
